player,season,season_end_year,club_final,club_group_stage,club_quarter_finals,club_round_of_16,club_semi_finals,goals_final,goals_group_stage,goals_quarter_finals,goals_round_of_16,goals_semi_finals,assists_final,assists_group_stage,assists_quarter_finals,assists_round_of_16,assists_semi_finals,big_chances_created_final,big_chances_created_group_stage,big_chances_created_quarter_finals,big_chances_created_round_of_16,big_chances_created_semi_finals,shot_creating_passes_final,shot_creating_passes_group_stage,shot_creating_passes_quarter_finals,shot_creating_passes_round_of_16,shot_creating_passes_semi_finals,tackles_won_final,tackles_won_group_stage,tackles_won_quarter_finals,tackles_won_round_of_16,tackles_won_semi_finals,interceptions_final,interceptions_group_stage,interceptions_quarter_finals,interceptions_round_of_16,interceptions_semi_finals,clearances_final,clearances_group_stage,clearances_quarter_finals,clearances_round_of_16,clearances_semi_finals,ball_recoveries_final,ball_recoveries_group_stage,ball_recoveries_quarter_finals,ball_recoveries_round_of_16,ball_recoveries_semi_finals,duels_won_final,duels_won_group_stage,duels_won_quarter_finals,duels_won_round_of_16,duels_won_semi_finals,pass_accuracy_pct_final,pass_accuracy_pct_group_stage,pass_accuracy_pct_quarter_finals,pass_accuracy_pct_round_of_16,pass_accuracy_pct_semi_finals,defensive_factor_final,defensive_factor_group_stage,defensive_factor_quarter_finals,defensive_factor_round_of_16,defensive_factor_semi_finals
Cristiano Ronaldo,03/04,2004,,Manchester United,,Manchester United,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,0,4,0,,79.67,,42.86,,,0.4015,,0.7651,
Cristiano Ronaldo,04/05,2005,,Manchester United,,Manchester United,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,27,0,,76.98,,79.59,,,0.5282,,0.4106,
Cristiano Ronaldo,05/06,2006,,Manchester United,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53,0,0,0,,83.51,,,,,0.3557,,,
Cristiano Ronaldo,06/07,2007,,Manchester United,Manchester United,Manchester United,Manchester United,0,0,2,0,1,0,4,1,1,0,0,0,0,0,0,0,7,2,2,0,0,2,2,3,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,41,30,12,12,,79.27,82.0,83.33,82.35,,0.2197,0.3661,0.2854,0.1465
Cristiano Ronaldo,07/08,2008,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,3,10,2,0,4,0,1,1,2,1,0,7,0,2,1,1,5,0,2,6,5,23,1,15,7,17,35,10,15,20,80.0,78.61,81.48,79.71,73.17,0.5389,0.6786,0.3249,0.9509,0.778
Cristiano Ronaldo,08/09,2009,Manchester United,Manchester United,Manchester United,Manchester United,Manchester United,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,11,3,0,1,0,1,1,0,0,1,5,3,0,1,0,4,2,0,0,1,27,8,8,7,4,34,15,14,9,83.33,80.75,85.71,89.23,83.95,0.1785,0.8014,0.6842,0.357,0.3181
Cristiano Ronaldo,09/10,2010,,Real Madrid,,Real Madrid,,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,1,0,2,0,0,2,0,2,0,0,2,0,2,0,0,7,0,10,0,0,22,0,20,0,,82.64,,80.0,,,0.4165,,0.8192,
Cristiano Ronaldo,10/11,2011,,Real Madrid,Real Madrid,Real Madrid,Real Madrid,0,4,2,0,0,0,2,0,2,0,0,4,0,1,0,0,12,4,5,0,0,3,0,0,1,0,2,0,0,5,0,4,0,1,2,0,16,7,11,13,0,40,9,14,17,,86.74,92.55,76.25,71.15,,0.4263,0.3211,0.572,1.0
Cristiano Ronaldo,11/12,2012,,Real Madrid,Real Madrid,Real Madrid,Real Madrid,0,3,2,3,2,0,2,0,0,1,0,3,1,1,1,0,11,9,3,3,0,6,1,0,1,0,1,1,3,0,0,1,0,0,1,0,15,4,7,6,0,28,12,10,16,,80.49,82.08,75.0,73.08,,0.5675,0.3021,0.4394,0.3393
Cristiano Ronaldo,12/13,2013,,Real Madrid,Real Madrid,Real Madrid,Real Madrid,0,6,3,2,1,0,1,0,0,0,0,3,1,0,0,0,16,3,2,3,0,1,1,1,2,0,2,1,1,1,0,5,0,1,2,0,25,9,7,7,0,39,11,10,17,,85.32,86.15,71.05,61.04,,0.4905,0.4737,0.4348,0.6201
Cristiano Ronaldo,13/14,2014,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,1,9,1,4,2,1,2,0,1,0,0,1,0,3,0,3,11,1,6,2,0,2,0,1,0,0,1,0,0,0,2,2,2,0,2,5,5,1,5,4,6,34,6,16,7,80.0,84.91,78.79,87.69,84.85,0.4188,0.2389,0.3467,0.3295,0.2551
Cristiano Ronaldo,14/15,2015,,Real Madrid,Real Madrid,Real Madrid,Real Madrid,0,5,0,3,2,0,1,1,1,0,0,0,1,0,1,0,6,3,3,4,0,1,0,0,1,0,1,1,0,0,0,5,4,1,1,0,12,2,0,3,0,34,10,9,8,,81.67,80.0,79.69,84.91,,0.3056,0.3295,0.0526,0.2105
Cristiano Ronaldo,15/16,2016,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,0,11,3,2,0,0,3,0,1,0,0,4,0,1,0,1,12,1,7,2,0,0,0,0,0,1,2,0,0,0,1,3,0,2,1,3,9,5,2,1,10,15,6,10,4,83.78,85.78,78.33,79.31,91.3,0.3913,0.1533,0.1556,0.1846,0.1602
Cristiano Ronaldo,16/17,2017,Real Madrid,Real Madrid,Real Madrid,Real Madrid,Real Madrid,2,2,5,0,3,0,5,0,1,0,0,5,0,2,1,0,9,3,5,3,0,0,0,0,0,0,2,2,1,0,0,2,2,0,1,1,14,3,7,1,1,25,9,14,13,94.74,85.71,90.91,86.79,87.04,0.0,0.2372,0.2589,0.3753,0.135
