player,season,season_end_year,club_final,club_group_stage,club_quarter_finals,club_round_of_16,club_semi_finals,goals_final,goals_group_stage,goals_quarter_finals,goals_round_of_16,goals_semi_finals,assists_final,assists_group_stage,assists_quarter_finals,assists_round_of_16,assists_semi_finals,big_chances_created_final,big_chances_created_group_stage,big_chances_created_quarter_finals,big_chances_created_round_of_16,big_chances_created_semi_finals,shot_creating_passes_final,shot_creating_passes_group_stage,shot_creating_passes_quarter_finals,shot_creating_passes_round_of_16,shot_creating_passes_semi_finals,tackles_won_final,tackles_won_group_stage,tackles_won_quarter_finals,tackles_won_round_of_16,tackles_won_semi_finals,interceptions_final,interceptions_group_stage,interceptions_quarter_finals,interceptions_round_of_16,interceptions_semi_finals,clearances_final,clearances_group_stage,clearances_quarter_finals,clearances_round_of_16,clearances_semi_finals,ball_recoveries_final,ball_recoveries_group_stage,ball_recoveries_quarter_finals,ball_recoveries_round_of_16,ball_recoveries_semi_finals,duels_won_final,duels_won_group_stage,duels_won_quarter_finals,duels_won_round_of_16,duels_won_semi_finals,pass_accuracy_pct_final,pass_accuracy_pct_group_stage,pass_accuracy_pct_quarter_finals,pass_accuracy_pct_round_of_16,pass_accuracy_pct_semi_finals,defensive_factor_final,defensive_factor_group_stage,defensive_factor_quarter_finals,defensive_factor_round_of_16,defensive_factor_semi_finals
Lionel Messi,04/05,2005,,Barcelona,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,,89.66,,,,,0.0,,,
Lionel Messi,05/06,2006,,Barcelona,,Barcelona,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,15,0,,87.5,,92.0,,,0.4389,,0.3049,
Lionel Messi,06/07,2007,,Barcelona,,Barcelona,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,6,0,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,22,0,9,0,,83.15,,78.0,,,0.3675,,0.1663,
Lionel Messi,07/08,2008,,Barcelona,,Barcelona,Barcelona,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,8,0,7,2,0,11,0,2,4,0,5,0,1,5,0,0,0,0,0,0,24,0,10,6,0,44,0,8,35,,85.51,,91.11,78.16,,0.623,,0.5891,0.9678
Lionel Messi,08/09,2009,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,1,5,2,1,0,0,3,1,0,1,0,0,0,0,0,0,10,6,7,2,0,2,1,1,3,2,8,1,0,0,0,0,0,0,0,1,14,16,17,12,7,24,11,14,16,94.74,84.18,86.99,87.27,79.38,0.2256,0.5284,0.5373,0.5507,0.5163
Lionel Messi,09/10,2010,,Barcelona,Barcelona,Barcelona,Barcelona,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,5,0,3,1,0,0,0,5,3,4,0,0,0,0,0,0,0,14,5,6,4,0,57,12,13,17,,82.48,91.21,91.03,91.94,,0.3878,0.3098,0.3384,0.1319
Lionel Messi,10/11,2011,Barcelona,Barcelona,Barcelona,Barcelona,Barcelona,1,6,1,2,2,0,1,1,1,0,0,2,0,2,0,4,10,3,3,4,0,3,2,0,1,0,1,3,1,1,0,0,0,0,0,2,13,4,9,5,16,36,22,20,32,92.0,88.21,85.43,87.88,91.8,0.2753,0.2515,0.4168,0.3595,0.4015
Lionel Messi,11/12,2012,,Barcelona,Barcelona,Barcelona,Barcelona,0,6,2,6,0,0,3,0,1,1,0,7,1,1,1,0,19,6,2,5,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,6,8,5,3,0,41,15,7,19,,88.15,91.91,84.66,81.88,,0.1155,0.2811,0.0669,0.369
Lionel Messi,12/13,2013,,Barcelona,Barcelona,Barcelona,Barcelona,0,5,1,2,0,0,2,0,0,0,0,3,0,0,0,0,14,3,1,0,0,1,0,0,1,0,2,0,2,1,0,0,0,0,0,0,9,1,7,4,0,23,5,17,6,,85.37,94.64,88.89,89.47,,0.0863,0.0403,0.3155,0.3977
Lionel Messi,13/14,2014,,Barcelona,Barcelona,Barcelona,,0,6,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,5,5,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,7,1,3,0,0,14,13,16,0,,84.21,80.22,91.91,,,0.1708,0.0975,0.1415,
